Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,As1,As3,As5,Am,An,As,Ad,Aht,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Ds1,Ds3,Ds5,Dm,Dn,Ds,Dd,Dht,Es1,Es3,Es5,Em,En,Es,Ed,Eht,Fs1,Fs3,Fs5,Fm,Fn,Fs,Fd,Fht,Gs1,Gs3,Gs5,Gm,Gn,Gs,Gd,Ght,Is1,Is3,Is5,Im,In,Is,Id,Iht,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht
1936,7,-179.5,34.6,21.06,22.0,22.8,21.77,11.0,1.15,10.0,0.6,22.0,22.5,23.0,22.39,10.0,0.78,8.0,0.7,13.35,13.35,13.35,13.35,1.0,0.0,8.0,0.0,89.4,89.4,89.4,89.4,1.0,0.0,8.0,0.0,2.6,6.7,9.3,6.15,11.0,3.02,10.0,0.6,-3.67,-1.84,0.0,-1.6,11.0,3.07,10.0,0.6,1.02,6.7,7.71,5.01,11.0,3.31,10.0,0.6,1014.67,1019.3,1023.8,1019.25,11.0,4.34,10.0,0.6,3.2,6.0,8.0,5.8,11.0,2.5,10.0,0.6,-29.7,-6.2,0.0,-9.2,11.0,28.1,10.0,0.6,2.6,44.9,71.7,39.5,11.0,31.9,10.0,0.6,-1.06,-0.8,0.6,-0.64,10.0,1.56,8.0,0.7,-9.8,-2.1,4.9,-2.4,10.0,6.8,8.0,0.7,2.07,2.07,2.07,2.07,1.0,0.0,8.0,0.0,5.4,5.4,5.4,5.4,1.0,0.0,8.0,0.0,-57.8,-39.2,0.0,-25.3,10.0,61.4,8.0,0.7,23.5,147.4,174.7,108.5,10.0,77.8,8.0,0.7,-24.6,-24.6,-24.6,-24.6,1.0,0.0,8.0,0.0,24.6,24.6,24.6,24.6,1.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.5,6.8,6.5,2.0,0.7,24.0,0.5,6.4,17.5,28.6,17.5,3.0,16.3,22.0,0.7,8.6,41.3,67.5,38.1,3.0,43.2,22.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,40.1,17.0,18.2,19.41,18.4,6.0,1.56,20.0,0.2,18.4,19.5,20.62,19.75,6.0,1.78,20.0,0.2,12.48,12.48,12.48,12.48,1.0,0.0,12.0,0.0,95.1,95.1,95.1,95.1,1.0,0.0,12.0,0.0,4.19,5.65,6.7,5.32,6.0,1.68,20.0,0.2,-3.25,-2.17,0.0,-1.81,6.0,1.5,20.0,0.2,2.96,4.73,6.7,4.66,6.0,2.13,20.0,0.2,1021.19,1025.3,1030.34,1025.48,6.0,4.65,20.0,0.2,4.4,5.5,8.0,5.7,6.0,2.3,20.0,0.2,-15.3,-9.9,0.0,-8.6,6.0,7.9,20.0,0.2,12.9,28.3,44.9,27.7,6.0,18.1,20.0,0.2,-2.0,-1.05,-1.0,-1.35,6.0,0.5,20.0,0.2,-8.1,-5.9,-5.0,-6.9,6.0,3.3,20.0,0.2,-0.16,-0.16,-0.16,-0.16,1.0,0.0,12.0,0.0,-1.1,-1.1,-1.1,-1.1,1.0,0.0,12.0,0.0,-65.1,-45.0,0.0,-36.7,6.0,29.8,20.0,0.2,60.4,91.5,121.3,89.2,6.0,35.8,20.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,83.6,83.6,83.6,83.6,1.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.6,10.4,5.64,5.0,5.05,14.0,0.0,-6.69,-0.71,1.55,-1.99,5.0,4.72,14.0,0.0,-0.21,1.0,7.9,3.34,5.0,4.91,14.0,0.0,1010.17,1020.3,1024.1,1017.66,5.0,7.29,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.88,9.0,1.53,16.0,0.8,-2.6,-1.84,0.46,-0.89,9.0,1.84,16.0,0.8,-1.59,0.0,2.36,-0.22,9.0,2.7,16.0,0.8,1013.54,1021.35,1025.03,1020.2,8.0,7.81,14.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,7.3,23.0,1.8,14.0,0.5,-15.0,-0.5,8.5,0.4,26.0,16.8,14.0,0.5,-8.2,4.7,19.7,3.5,26.0,20.7,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,46.4,8.0,10.0,11.03,9.6,24.0,1.66,12.0,0.5,9.0,12.0,13.19,11.44,25.0,2.09,14.0,0.6,6.27,6.27,6.27,6.27,1.0,0.0,8.0,0.0,87.9,87.9,87.9,87.9,1.0,0.0,8.0,0.0,2.6,4.6,4.6,4.09,26.0,1.86,14.0,0.5,-3.25,-0.5,2.42,-0.42,26.0,2.76,14.0,0.5,-1.88,1.81,4.27,0.92,26.0,3.49,14.0,0.5,1011.91,1020.8,1027.62,1019.66,26.0,8.15,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,-2.51,-1.0,-1.0,-1.64,23.0,1.28,12.0,0.5,-13.2,-4.6,-2.6,-7.7,23.0,7.7,12.0,0.5,0.4,0.4,0.4,0.4,1.0,0.0,8.0,0.0,1.8,1.8,1.8,1.8,1.0,0.0,8.0,0.0,-29.9,-12.2,29.4,-3.8,25.0,31.3,14.0,0.6,-27.0,7.1,52.6,10.8,25.0,44.1,14.0,0.6,-20.4,-20.4,-20.4,-20.4,1.0,0.0,8.0,0.0,20.4,20.4,20.4,20.4,1.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.4,-23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.6,4.6,4.6,4.6,1.0,0.0,2.0,0.0,1019.7,1019.7,1019.7,1019.7,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.4,-17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9,-18.2,-16.5,-18.2,2.0,3.5,24.0,0.5,21.3,33.5,45.6,33.5,2.0,25.2,24.0,0.5,93.5,97.5,331.5,264.5,7.0,317.5,18.0,0.7,95.0,95.0,330.0,265.0,7.0,320.0,18.0,0.7
1936,7,-179.3,-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.7,6.7,6.18,4.0,1.05,12.0,0.0,0.88,4.0,5.7,3.32,4.0,3.35,12.0,0.0,-1.1,3.01,5.7,2.34,4.0,4.32,12.0,0.0,1021.35,1022.55,1023.96,1022.65,4.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
